Season,Unnamed: 0,Date,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen,hwins
2019,0,3/2/19,Philadelphia,Toronto FC,1Ð3,1,3,east,east,4,regular,,,,,,a
2019,1,3/2/19,Orlando City,NYCFC,2Ð2,2,2,east,east,4,regular,,,,,,t
2019,2,3/2/19,FC Dallas,New England,1Ð1,1,1,west,east,2,regular,,,,,,t
2019,3,3/2/19,Columbus,NY Red Bulls,1Ð1,1,1,east,east,2,regular,,,,,,t
2019,4,3/2/19,Vancouver,Minnesota,2Ð3,2,3,west,west,5,regular,,,,,,a
2019,5,3/2/19,Colorado,Portland,3Ð3,3,3,west,west,6,regular,,,,,,t
2019,6,3/2/19,Houston,Real Salt Lake,1Ð1,1,1,west,west,2,regular,,,,,,t
2019,7,3/2/19,LA Galaxy,Chicago,2Ð1,2,1,west,east,3,regular,,,,,,h
2019,8,3/2/19,Seattle,FC Cincinnati,4Ð1,4,1,west,east,5,regular,,,,,,h
2019,9,3/2/19,San Jose,Montreal,1Ð2,1,2,west,east,3,regular,,,,,,a
2019,10,3/3/19,D.C. United,Atlanta,2Ð0,2,0,east,east,2,regular,,,,,,h
2019,11,3/3/19,Los Angeles FC,Sporting KC,2Ð1,2,1,west,west,3,regular,,,,,,h
2019,12,3/9/19,Chicago,Orlando City,1Ð1,1,1,east,east,2,regular,,,,,,t
2019,13,3/9/19,New England,Columbus,0Ð2,0,2,east,east,2,regular,,,,,,a
2019,14,3/9/19,FC Dallas,LA Galaxy,2Ð0,2,0,west,west,2,regular,,,,,,h
2019,15,3/9/19,Houston,Montreal,2Ð1,2,1,west,east,3,regular,,,,,,h
2019,16,3/9/19,Real Salt Lake,Vancouver,1Ð0,1,0,west,west,1,regular,,,,,,h
2019,17,3/9/19,San Jose,Minnesota,0Ð3,0,3,west,west,3,regular,,,,,,a
2019,18,3/9/19,Seattle,Colorado,2Ð0,2,0,west,west,2,regular,,,,,,h
2019,19,3/10/19,Sporting KC,Philadelphia,2Ð0,2,0,west,east,2,regular,,,,,,h
2019,20,3/10/19,NYCFC,D.C. United,0Ð0,0,0,east,east,0,regular,,,,,,t
2019,21,3/10/19,Atlanta,FC Cincinnati,1Ð1,1,1,east,east,2,regular,,,,,,t
2019,22,3/10/19,Los Angeles FC,Portland,4Ð1,4,1,west,west,5,regular,,,,,,h
2019,23,3/16/19,Chicago,Seattle,2Ð4,2,4,east,west,6,regular,,,,,,a
2019,24,3/16/19,Columbus,FC Dallas,1Ð0,1,0,east,west,1,regular,,,,,,h
2019,25,3/16/19,Houston,Vancouver,3Ð2,3,2,west,west,5,regular,,,,,,h
2019,26,3/16/19,NY Red Bulls,San Jose,4Ð1,4,1,east,west,5,regular,,,,,,h
2019,27,3/16/19,Orlando City,Montreal,1Ð3,1,3,east,east,4,regular,,,,,,a
2019,28,3/16/19,D.C. United,Real Salt Lake,5Ð0,5,0,east,west,5,regular,,,,,,h
2019,29,3/16/19,LA Galaxy,Minnesota,3Ð2,3,2,west,west,5,regular,,,,,,h
2019,30,3/17/19,NYCFC,Los Angeles FC,2Ð2,2,2,east,west,4,regular,,,,,,t
2019,31,3/17/19,FC Cincinnati,Portland,3Ð0,3,0,east,west,3,regular,,,,,,h
2019,32,3/17/19,Atlanta,Philadelphia,1Ð1,1,1,east,east,2,regular,,,,,,t
2019,33,3/17/19,Toronto FC,New England,3Ð2,3,2,east,east,5,regular,,,,,,h
2019,34,3/17/19,Colorado,Sporting KC,1Ð1,1,1,west,west,2,regular,,,,,,t
2019,35,3/23/19,FC Dallas,Colorado,2Ð1,2,1,west,west,3,regular,,,,,,h
2019,36,3/23/19,NY Red Bulls,Orlando City,0Ð1,0,1,east,east,1,regular,,,,,,a
2019,37,3/23/19,Philadelphia,Columbus,3Ð0,3,0,east,east,3,regular,,,,,,h
2019,38,3/23/19,Los Angeles FC,Real Salt Lake,2Ð1,2,1,west,west,3,regular,,,,,,h
2019,39,3/24/19,New England,FC Cincinnati,0Ð2,0,2,east,east,2,regular,,,,,,a
2019,40,3/29/19,Toronto FC,NYCFC,4Ð0,4,0,east,east,4,regular,,,,,,h
2019,41,3/30/19,Chicago,NY Red Bulls,1Ð0,1,0,east,east,1,regular,,,,,,h
2019,42,3/30/19,New England,Minnesota,2Ð1,2,1,east,west,3,regular,,,,,,h
2019,43,3/30/19,Sporting KC,Montreal,7Ð1,7,1,west,east,8,regular,,,,,,h
2019,44,3/30/19,San Jose,Los Angeles FC,0Ð5,0,5,west,west,5,regular,,,,,,a
2019,45,3/30/19,FC Cincinnati,Philadelphia,0Ð2,0,2,east,east,2,regular,,,,,,a
2019,46,3/30/19,Columbus,Atlanta,2Ð0,2,0,east,east,2,regular,,,,,,h
2019,47,3/30/19,Real Salt Lake,FC Dallas,2Ð4,2,4,west,west,6,regular,,,,,,a
2019,48,3/30/19,Colorado,Houston,1Ð4,1,4,west,west,5,regular,,,,,,a
2019,49,3/30/19,Vancouver,Seattle,0Ð0,0,0,west,west,0,regular,,,,,,t
2019,50,3/31/19,Orlando City,D.C. United,1Ð2,1,2,east,east,3,regular,,,,,,a
2019,51,3/31/19,LA Galaxy,Portland,2Ð1,2,1,west,west,3,regular,,,,,,h
2019,52,4/5/19,Vancouver,LA Galaxy,0Ð2,0,2,west,west,2,regular,,,,,,a
2019,53,4/6/19,NYCFC,Montreal,0Ð0,0,0,east,east,0,regular,,,,,,t
2019,54,4/6/19,D.C. United,Los Angeles FC,0Ð4,0,4,east,west,4,regular,,,,,,t
2019,55,4/6/19,Toronto FC,Chicago,2Ð2,2,2,east,east,4,regular,,,,,,a
2019,56,4/6/19,NY Red Bulls,Minnesota,1Ð2,1,2,east,west,3,regular,,,,,,h
2019,57,4/6/19,Orlando City,Colorado,4Ð3,4,3,east,west,7,regular,,,,,,h
2019,58,4/6/19,Columbus,New England,1Ð0,1,0,east,east,1,regular,,,,,,h
2019,59,4/6/19,Philadelphia,FC Dallas,2Ð1,2,1,east,west,3,regular,,,,,,h
2019,60,4/6/19,San Jose,Portland,3Ð0,3,0,west,west,3,regular,,,,,,h
2019,61,4/6/19,Seattle,Real Salt Lake,1Ð0,1,0,west,west,1,regular,,,,,,t
