,Date,Season,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen
2562,2009-06-18,2009,Seattle Sounders,DC United,3-3,3,3,West,East,6,regular,,,,,
2563,2009-06-20,2009,San Jose Earthquakes,LA Galaxy,2-1,2,1,West,West,3,regular,,,,,
2564,2009-06-20,2009,New York Red Bulls,Seattle Sounders,1-1,1,1,East,West,2,regular,,,,,
2565,2009-06-20,2009,FC Dallas,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,
2566,2009-06-20,2009,Houston Dynamo,Real Salt Lake,1-1,1,1,West,West,2,regular,,,,,
2567,2009-06-20,2009,Colorado Rapids,DC United,3-0,3,0,West,East,3,regular,,,,,
2568,2009-06-24,2009,Toronto FC,New York Red Bulls,2-0,2,0,East,East,2,regular,,,,,
2569,2009-06-24,2009,Colorado Rapids,FC Dallas,1-1,1,1,West,West,2,regular,,,,,
2570,2009-06-27,2009,Columbus Crew,New York Red Bulls,1-0,1,0,East,East,1,regular,,,,,
2571,2009-06-27,2009,Real Salt Lake,Toronto FC,3-0,3,0,West,East,3,regular,,,,,
2572,2009-06-28,2009,Seattle Sounders,Colorado Rapids,3-0,3,0,West,West,3,regular,,,,,
2573,2009-06-29,2009,LA Galaxy,Houston Dynamo,1-0,1,0,West,West,1,regular,,,,,
2574,2009-07-04,2009,Real Salt Lake,San Jose Earthquakes,1-1,1,1,West,West,2,regular,,,,,
2575,2009-07-04,2009,Columbus Crew,DC United,1-1,1,1,East,East,2,regular,,,,,
2576,2009-07-04,2009,Sporting Kansas City,Houston Dynamo,0-1,0,1,East,West,1,regular,,,,,
2577,2009-07-04,2009,Colorado Rapids,Chicago Fire,1-2,1,2,West,East,3,regular,,,,,
2578,2009-07-04,2009,FC Dallas,New York Red Bulls,2-1,2,1,West,East,3,regular,,,,,
2579,2009-07-05,2009,LA Galaxy,New England Revolution,1-0,1,0,West,East,1,regular,,,,,
2580,2009-07-11,2009,Seattle Sounders,Houston Dynamo,2-1,2,1,West,West,3,regular,,,,,
2581,2009-07-11,2009,New England Revolution,Sporting Kansas City,0-0,0,0,East,East,0,regular,,,,,
2582,2009-07-11,2009,Chicago Fire,Columbus Crew,0-0,0,0,East,East,0,regular,,,,,
2583,2009-07-11,2009,Colorado Rapids,FC Dallas,1-0,1,0,West,West,1,regular,,,,,
2584,2009-07-12,2009,San Jose Earthquakes,Toronto FC,1-3,1,3,West,East,4,regular,,,,,
2585,2009-07-12,2009,CD Chivas USA,LA Galaxy,0-1,0,1,West,West,1,regular,,,,,
2586,2009-07-16,2009,New York Red Bulls,LA Galaxy,1-3,1,3,East,West,4,regular,,,,,
2587,2009-07-18,2009,Toronto FC,Houston Dynamo,1-1,1,1,East,West,2,regular,,,,,
2588,2009-07-18,2009,DC United,Colorado Rapids,3-1,3,1,East,West,4,regular,,,,,
