,Date,Season,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen
0,1996-04-06,1996,San Jose Earthquakes,DC United,1-0,1,0,West,East,1,regular,,,,,
1,1996-04-13,1996,LA Galaxy,New York Red Bulls,2-1,2,1,West,East,3,regular,,,,,
2,1996-04-13,1996,Tampa Bay Mutiny,New England Revolution,3-2,3,2,East,East,5,regular,,,,,
3,1996-04-13,1996,Columbus Crew,DC United,4-0,4,0,East,East,4,regular,,,,,
4,1996-04-13,1996,Sporting Kansas City,Colorado Rapids,3-0,3,0,West,West,3,regular,,,,,
5,1996-04-14,1996,FC Dallas,San Jose Earthquakes,1-0,1,0,West,West,1,regular,,,,,
6,1996-04-18,1996,FC Dallas,Sporting Kansas City,3-0,3,0,West,West,3,regular,,,,,
7,1996-04-20,1996,DC United,LA Galaxy,1-2,1,2,East,West,3,regular,,,,,
8,1996-04-20,1996,Columbus Crew,Tampa Bay Mutiny,1-2,1,2,East,East,3,regular,,,,,
9,1996-04-20,1996,New York Red Bulls,New England Revolution,0-1,0,1,East,East,1,regular,,,,,
10,1996-04-21,1996,Colorado Rapids,FC Dallas,3-1,3,1,West,West,4,regular,,,,,
11,1996-04-21,1996,San Jose Earthquakes,Sporting Kansas City,2-3,2,3,West,West,5,regular,,,,,
12,1996-04-27,1996,New York Red Bulls,Columbus Crew,0-2,0,2,East,East,2,regular,,,,,
13,1996-04-27,1996,New England Revolution,DC United,2-1,2,1,East,East,3,regular,,,,,
14,1996-04-28,1996,Tampa Bay Mutiny,FC Dallas,1-2,1,2,East,West,3,regular,,,,,
15,1996-04-28,1996,LA Galaxy,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,
16,1996-05-01,1996,DC United,FC Dallas,3-1,3,1,East,West,4,regular,,,,,
17,1996-05-02,1996,Sporting Kansas City,Columbus Crew,6-4,6,4,West,East,10,regular,,,,,
18,1996-05-04,1996,New York Red Bulls,Tampa Bay Mutiny,4-3,4,3,East,East,7,regular,,,,,
19,1996-05-04,1996,New England Revolution,San Jose Earthquakes,1-2,1,2,East,West,3,regular,,,,,
20,1996-05-05,1996,FC Dallas,Columbus Crew,1-0,1,0,West,East,1,regular,,,,,
21,1996-05-05,1996,Colorado Rapids,Sporting Kansas City,4-0,4,0,West,West,4,regular,,,,,
22,1996-05-05,1996,LA Galaxy,DC United,3-1,3,1,West,East,4,regular,,,,,
23,1996-05-08,1996,San Jose Earthquakes,Colorado Rapids,3-1,3,1,West,West,4,regular,,,,,
24,1996-05-08,1996,Tampa Bay Mutiny,Sporting Kansas City,2-0,2,0,East,West,2,regular,,,,,
25,1996-05-11,1996,Colorado Rapids,Tampa Bay Mutiny,1-2,1,2,West,East,3,regular,,,,,
26,1996-05-11,1996,Columbus Crew,New England Revolution,3-2,3,2,East,East,5,regular,,,,,
27,1996-05-11,1996,Sporting Kansas City,FC Dallas,2-3,2,3,West,West,5,regular,,,,,
28,1996-05-12,1996,DC United,New York Red Bulls,1-2,1,2,East,East,3,regular,,,,,
29,1996-05-12,1996,San Jose Earthquakes,LA Galaxy,1-2,1,2,West,West,3,regular,,,,,
30,1996-05-15,1996,DC United,Columbus Crew,5-2,5,2,East,East,7,regular,,,,,
31,1996-05-16,1996,New York Red Bulls,Colorado Rapids,3-0,3,0,East,West,3,regular,,,,,
32,1996-05-18,1996,Tampa Bay Mutiny,San Jose Earthquakes,3-2,3,2,East,West,5,regular,,,,,
33,1996-05-18,1996,FC Dallas,DC United,3-2,3,2,West,East,5,regular,,,,,
34,1996-05-19,1996,New England Revolution,New York Red Bulls,2-0,2,0,East,East,2,regular,,,,,
35,1996-05-19,1996,Columbus Crew,Colorado Rapids,2-4,2,4,East,West,6,regular,,,,,
36,1996-05-19,1996,LA Galaxy,Sporting Kansas City,2-0,2,0,West,West,2,regular,,,,,
37,1996-05-22,1996,Sporting Kansas City,New York Red Bulls,2-1,2,1,West,East,3,regular,,,,,
38,1996-05-23,1996,FC Dallas,Tampa Bay Mutiny,0-1,0,1,West,East,1,regular,,,,,
39,1996-05-25,1996,New England Revolution,Colorado Rapids,3-2,3,2,East,West,5,regular,,,,,
40,1996-05-26,1996,LA Galaxy,Columbus Crew,3-2,3,2,West,East,5,regular,,,,,
41,1996-05-29,1996,San Jose Earthquakes,Sporting Kansas City,2-1,2,1,West,West,3,regular,,,,,
42,1996-05-29,1996,Colorado Rapids,FC Dallas,2-0,2,0,West,West,2,regular,,,,,
43,1996-05-30,1996,New York Red Bulls,DC United,1-2,1,2,East,East,3,regular,,,,,
44,1996-06-01,1996,San Jose Earthquakes,Columbus Crew,3-2,3,2,West,East,5,regular,,,,,
45,1996-06-01,1996,Tampa Bay Mutiny,LA Galaxy,1-2,1,2,East,West,3,regular,,,,,
46,1996-06-01,1996,Sporting Kansas City,New England Revolution,2-1,2,1,West,East,3,regular,,,,,
47,1996-06-02,1996,FC Dallas,New York Red Bulls,0-1,0,1,West,East,1,regular,,,,,
48,1996-06-02,1996,Colorado Rapids,DC United,2-3,2,3,West,East,5,regular,,,,,
49,1996-06-05,1996,DC United,San Jose Earthquakes,3-1,3,1,East,West,4,regular,,,,,
50,1996-06-05,1996,Sporting Kansas City,Tampa Bay Mutiny,1-3,1,3,West,East,4,regular,,,,,
51,1996-06-06,1996,New England Revolution,LA Galaxy,2-3,2,3,East,West,5,regular,,,,,
52,1996-06-08,1996,Columbus Crew,Sporting Kansas City,3-4,3,4,East,West,7,regular,,,,,
53,1996-06-08,1996,FC Dallas,San Jose Earthquakes,4-1,4,1,West,West,5,regular,,,,,
54,1996-06-08,1996,Tampa Bay Mutiny,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,
55,1996-06-09,1996,New York Red Bulls,LA Galaxy,0-4,0,4,East,West,4,regular,,,,,
56,1996-06-15,1996,New England Revolution,Sporting Kansas City,2-1,2,1,East,West,3,regular,,,,,
57,1996-06-15,1996,FC Dallas,Colorado Rapids,2-1,2,1,West,West,3,regular,,,,,
58,1996-06-16,1996,New York Red Bulls,San Jose Earthquakes,0-1,0,1,East,West,1,regular,,,,,
59,1996-06-16,1996,LA Galaxy,Tampa Bay Mutiny,3-2,3,2,West,East,5,regular,,,,,
60,1996-06-19,1996,New York Red Bulls,FC Dallas,1-0,1,0,East,West,1,regular,,,,,
61,1996-06-19,1996,Columbus Crew,Colorado Rapids,2-3,2,3,East,West,5,regular,,,,,
62,1996-06-20,1996,Sporting Kansas City,DC United,5-1,5,1,West,East,6,regular,,,,,
63,1996-06-22,1996,Tampa Bay Mutiny,Columbus Crew,3-4,3,4,East,East,7,regular,,,,,
64,1996-06-23,1996,New England Revolution,FC Dallas,1-4,1,4,East,West,5,regular,,,,,
65,1996-06-23,1996,San Jose Earthquakes,DC United,2-1,2,1,West,East,3,regular,,,,,
66,1996-06-26,1996,LA Galaxy,Colorado Rapids,3-1,3,1,West,West,4,regular,,,,,
67,1996-06-26,1996,New York Red Bulls,Sporting Kansas City,2-0,2,0,East,West,2,regular,,,,,
68,1996-06-27,1996,New England Revolution,Columbus Crew,1-2,1,2,East,East,3,regular,,,,,
69,1996-06-29,1996,FC Dallas,Sporting Kansas City,0-1,0,1,West,West,1,regular,,,,,
70,1996-06-30,1996,Columbus Crew,New York Red Bulls,0-4,0,4,East,East,4,regular,,,,,
71,1996-06-30,1996,DC United,New England Revolution,3-1,3,1,East,East,4,regular,,,,,
72,1996-06-30,1996,Colorado Rapids,LA Galaxy,2-1,2,1,West,West,3,regular,,,,,
73,1996-06-30,1996,San Jose Earthquakes,Tampa Bay Mutiny,4-0,4,0,West,East,4,regular,,,,,
74,1996-07-04,1996,LA Galaxy,New England Revolution,0-1,0,1,West,East,1,regular,,,,,
75,1996-07-04,1996,Tampa Bay Mutiny,Columbus Crew,4-1,4,1,East,East,5,regular,,,,,
76,1996-07-04,1996,FC Dallas,DC United,2-1,2,1,West,East,3,regular,,,,,
77,1996-07-04,1996,Colorado Rapids,New York Red Bulls,3-1,3,1,West,East,4,regular,,,,,
78,1996-07-06,1996,San Jose Earthquakes,New England Revolution,1-2,1,2,West,East,3,regular,,,,,
79,1996-07-06,1996,Sporting Kansas City,LA Galaxy,3-1,3,1,West,West,4,regular,,,,,
80,1996-07-07,1996,Colorado Rapids,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,
81,1996-07-07,1996,DC United,FC Dallas,6-1,6,1,East,West,7,regular,,,,,
82,1996-07-10,1996,New York Red Bulls,FC Dallas,3-2,3,2,East,West,5,regular,,,,,
83,1996-07-10,1996,Sporting Kansas City,Colorado Rapids,2-0,2,0,West,West,2,regular,,,,,
84,1996-07-11,1996,Columbus Crew,New England Revolution,1-2,1,2,East,East,3,regular,,,,,
85,1996-07-12,1996,DC United,Tampa Bay Mutiny,1-0,1,0,East,East,1,regular,,,,,
86,1996-07-17,1996,FC Dallas,LA Galaxy,5-2,5,2,West,West,7,regular,,,,,
87,1996-07-17,1996,Colorado Rapids,San Jose Earthquakes,1-2,1,2,West,West,3,regular,,,,,
88,1996-07-18,1996,Tampa Bay Mutiny,Sporting Kansas City,3-2,3,2,East,West,5,regular,,,,,
89,1996-07-20,1996,New England Revolution,DC United,2-0,2,0,East,East,2,regular,,,,,
90,1996-07-20,1996,Columbus Crew,San Jose Earthquakes,3-4,3,4,East,West,7,regular,,,,,
91,1996-07-20,1996,Sporting Kansas City,FC Dallas,1-2,1,2,West,West,3,regular,,,,,
92,1996-07-21,1996,Colorado Rapids,Tampa Bay Mutiny,1-3,1,3,West,East,4,regular,,,,,
93,1996-07-21,1996,LA Galaxy,New York Red Bulls,3-0,3,0,West,East,3,regular,,,,,
94,1996-07-24,1996,Colorado Rapids,New England Revolution,2-0,2,0,West,East,2,regular,,,,,
95,1996-07-24,1996,San Jose Earthquakes,New York Red Bulls,0-1,0,1,West,East,1,regular,,,,,
96,1996-07-25,1996,Columbus Crew,Tampa Bay Mutiny,1-0,1,0,East,East,1,regular,,,,,
97,1996-07-27,1996,Tampa Bay Mutiny,LA Galaxy,4-3,4,3,East,West,7,regular,,,,,
98,1996-07-27,1996,FC Dallas,Colorado Rapids,3-0,3,0,West,West,3,regular,,,,,
99,1996-07-27,1996,Sporting Kansas City,New England Revolution,4-2,4,2,West,East,6,regular,,,,,
100,1996-07-28,1996,New York Red Bulls,San Jose Earthquakes,4-1,4,1,East,West,5,regular,,,,,
101,1996-07-28,1996,DC United,Columbus Crew,2-0,2,0,East,East,2,regular,,,,,
102,1996-07-31,1996,Columbus Crew,FC Dallas,1-2,1,2,East,West,3,regular,,,,,
103,1996-07-31,1996,DC United,Sporting Kansas City,2-3,2,3,East,West,5,regular,,,,,
104,1996-07-31,1996,New England Revolution,San Jose Earthquakes,2-0,2,0,East,West,2,regular,,,,,
105,1996-08-01,1996,Colorado Rapids,LA Galaxy,2-3,2,3,West,West,5,regular,,,,,
106,1996-08-03,1996,New England Revolution,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,
107,1996-08-03,1996,Tampa Bay Mutiny,Colorado Rapids,3-1,3,1,East,West,4,regular,,,,,
108,1996-08-04,1996,DC United,Sporting Kansas City,2-4,2,4,East,West,6,regular,,,,,
109,1996-08-04,1996,LA Galaxy,Columbus Crew,1-2,1,2,West,East,3,regular,,,,,
110,1996-08-07,1996,Tampa Bay Mutiny,DC United,1-3,1,3,East,East,4,regular,,,,,
111,1996-08-07,1996,Colorado Rapids,Sporting Kansas City,4-2,4,2,West,West,6,regular,,,,,
112,1996-08-08,1996,LA Galaxy,New England Revolution,1-0,1,0,West,East,1,regular,,,,,
113,1996-08-10,1996,Columbus Crew,DC United,3-2,3,2,East,East,5,regular,,,,,
114,1996-08-10,1996,FC Dallas,Tampa Bay Mutiny,2-1,2,1,West,East,3,regular,,,,,
115,1996-08-11,1996,Sporting Kansas City,LA Galaxy,3-2,3,2,West,West,5,regular,,,,,
116,1996-08-11,1996,Colorado Rapids,New York Red Bulls,0-2,0,2,West,East,2,regular,,,,,
117,1996-08-11,1996,San Jose Earthquakes,New England Revolution,6-1,6,1,West,East,7,regular,,,,,
118,1996-08-14,1996,New York Red Bulls,New England Revolution,4-0,4,0,East,East,4,regular,,,,,
119,1996-08-14,1996,FC Dallas,Columbus Crew,2-3,2,3,West,East,5,regular,,,,,
120,1996-08-15,1996,Sporting Kansas City,San Jose Earthquakes,4-1,4,1,West,West,5,regular,,,,,
121,1996-08-16,1996,New England Revolution,Colorado Rapids,2-0,2,0,East,West,2,regular,,,,,
122,1996-08-17,1996,Tampa Bay Mutiny,New York Red Bulls,3-1,3,1,East,East,4,regular,,,,,
123,1996-08-18,1996,Columbus Crew,San Jose Earthquakes,2-0,2,0,East,West,2,regular,,,,,
124,1996-08-18,1996,DC United,LA Galaxy,2-1,2,1,East,West,3,regular,,,,,
125,1996-08-21,1996,LA Galaxy,Sporting Kansas City,1-2,1,2,West,West,3,regular,,,,,
126,1996-08-21,1996,New York Red Bulls,DC United,2-3,2,3,East,East,5,regular,,,,,
127,1996-08-21,1996,New England Revolution,Tampa Bay Mutiny,4-2,4,2,East,East,6,regular,,,,,
128,1996-08-22,1996,San Jose Earthquakes,FC Dallas,1-0,1,0,West,West,1,regular,,,,,
129,1996-08-24,1996,Columbus Crew,Sporting Kansas City,2-1,2,1,East,West,3,regular,,,,,
130,1996-08-25,1996,DC United,Tampa Bay Mutiny,3-0,3,0,East,East,3,regular,,,,,
131,1996-08-25,1996,San Jose Earthquakes,Colorado Rapids,1-0,1,0,West,West,1,regular,,,,,
132,1996-08-25,1996,LA Galaxy,FC Dallas,2-3,2,3,West,West,5,regular,,,,,
133,1996-08-28,1996,Columbus Crew,LA Galaxy,2-0,2,0,East,West,2,regular,,,,,
134,1996-08-29,1996,Colorado Rapids,DC United,1-2,1,2,West,East,3,regular,,,,,
135,1996-08-31,1996,Tampa Bay Mutiny,New England Revolution,3-1,3,1,East,East,4,regular,,,,,
136,1996-09-01,1996,Sporting Kansas City,New York Red Bulls,3-2,3,2,West,East,5,regular,,,,,
137,1996-09-01,1996,San Jose Earthquakes,LA Galaxy,1-2,1,2,West,West,3,regular,,,,,
138,1996-09-04,1996,New York Red Bulls,Tampa Bay Mutiny,0-2,0,2,East,East,2,regular,,,,,
139,1996-09-04,1996,New England Revolution,FC Dallas,2-1,2,1,East,West,3,regular,,,,,
140,1996-09-05,1996,LA Galaxy,Colorado Rapids,0-1,0,1,West,West,1,regular,,,,,
141,1996-09-06,1996,DC United,New York Red Bulls,1-2,1,2,East,East,3,regular,,,,,
142,1996-09-07,1996,Sporting Kansas City,Columbus Crew,1-5,1,5,West,East,6,regular,,,,,
143,1996-09-07,1996,FC Dallas,New England Revolution,0-2,0,2,West,East,2,regular,,,,,
144,1996-09-08,1996,Colorado Rapids,San Jose Earthquakes,1-3,1,3,West,West,4,regular,,,,,
145,1996-09-10,1996,New York Red Bulls,LA Galaxy,3-1,3,1,East,West,4,regular,,,,,
146,1996-09-11,1996,San Jose Earthquakes,FC Dallas,2-3,2,3,West,West,5,regular,,,,,
147,1996-09-12,1996,New England Revolution,Tampa Bay Mutiny,1-2,1,2,East,East,3,regular,,,,,
148,1996-09-14,1996,Tampa Bay Mutiny,DC United,2-0,2,0,East,East,2,regular,,,,,
149,1996-09-15,1996,Columbus Crew,New York Red Bulls,2-0,2,0,East,East,2,regular,,,,,
150,1996-09-15,1996,LA Galaxy,San Jose Earthquakes,4-2,4,2,West,West,6,regular,,,,,
151,1996-09-17,1996,DC United,New England Revolution,3-2,3,2,East,East,5,regular,,,,,
152,1996-09-18,1996,San Jose Earthquakes,Tampa Bay Mutiny,1-2,1,2,West,East,3,regular,,,,,
153,1996-09-18,1996,New York Red Bulls,Columbus Crew,1-0,1,0,East,East,1,regular,,,,,
154,1996-09-19,1996,FC Dallas,LA Galaxy,1-2,1,2,West,West,3,regular,,,,,
155,1996-09-21,1996,New England Revolution,Columbus Crew,0-1,0,1,East,East,1,regular,,,,,
156,1996-09-21,1996,DC United,Colorado Rapids,3-1,3,1,East,West,4,regular,,,,,
157,1996-09-21,1996,Tampa Bay Mutiny,New York Red Bulls,4-1,4,1,East,East,5,regular,,,,,
158,1996-09-21,1996,Sporting Kansas City,San Jose Earthquakes,0-1,0,1,West,West,1,regular,,,,,
159,1996-09-22,1996,LA Galaxy,FC Dallas,2-1,2,1,West,West,3,regular,,,,,
160,1996-09-24,1996,New York Red Bulls,DC United,2-2,2,2,East,East,4,conf_semi,1.0,2.0,2.0,6.0,5.0
161,1996-09-25,1996,Columbus Crew,Tampa Bay Mutiny,0-2,0,2,East,East,2,conf_semi,1.0,,,,
162,1996-09-26,1996,Sporting Kansas City,FC Dallas,3-2,3,2,West,West,5,conf_semi,1.0,,,,
163,1996-09-26,1996,San Jose Earthquakes,LA Galaxy,1-0,1,0,West,West,1,conf_semi,1.0,,,,
164,1996-09-27,1996,DC United,New York Red Bulls,1-0,1,0,East,East,1,conf_semi,2.0,,,,
165,1996-09-28,1996,Tampa Bay Mutiny,Columbus Crew,1-2,1,2,East,East,3,conf_semi,2.0,,,,
166,1996-09-29,1996,FC Dallas,Sporting Kansas City,2-1,2,1,West,West,3,conf_semi,2.0,,,,
167,1996-09-29,1996,LA Galaxy,San Jose Earthquakes,2-0,2,0,West,West,2,conf_semi,2.0,,,,
168,1996-10-02,1996,FC Dallas,Sporting Kansas City,2-3,2,3,West,West,5,conf_semi,3.0,2.0,3.0,2.0,3.0
169,1996-10-02,1996,LA Galaxy,San Jose Earthquakes,2-0,2,0,West,West,2,conf_semi,3.0,,,,
170,1996-10-02,1996,Tampa Bay Mutiny,Columbus Crew,4-1,4,1,East,East,5,conf_semi,3.0,,,,
171,1996-10-02,1996,DC United,New York Red Bulls,2-1,2,1,East,East,3,conf_semi,3.0,,,,
172,1996-10-10,1996,DC United,Tampa Bay Mutiny,4-1,4,1,East,East,1,conf_final,1.0,,,,
173,1996-10-10,1996,LA Galaxy,Sporting Kansas City,2-1,2,1,West,West,3,conf_final,1.0,,,,
174,1996-10-12,1996,Tampa Bay Mutiny,DC United,1-2,1,2,East,East,2,conf_final,2.0,,,,
175,1996-10-13,1996,Sporting Kansas City,LA Galaxy,1-2,1,2,West,West,3,conf_final,2.0,1.0,2.0,1.0,3.0
176,1996-10-20,1996,DC United,LA Galaxy,2-2,2,2,East,West,4,mls_final,,3.0,2.0,,
177,1997-03-22,1997,San Jose Earthquakes,New York Red Bulls,1-0,1,0,West,East,1,regular,,,,,
178,1997-03-29,1997,LA Galaxy,DC United,0-1,0,1,West,East,1,regular,,,,,
179,1997-03-29,1997,Columbus Crew,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,
180,1997-03-29,1997,Sporting Kansas City,San Jose Earthquakes,3-2,3,2,West,West,5,regular,,,,,
181,1997-03-29,1997,FC Dallas,New England Revolution,0-1,0,1,West,East,1,regular,,,,,
182,1997-03-29,1997,Tampa Bay Mutiny,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,
183,1997-04-05,1997,DC United,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,
184,1997-04-05,1997,Sporting Kansas City,LA Galaxy,3-2,3,2,West,West,5,regular,,,,,
185,1997-04-05,1997,FC Dallas,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,
186,1997-04-06,1997,Colorado Rapids,Columbus Crew,2-0,2,0,West,East,2,regular,,,,,
187,1997-04-06,1997,Tampa Bay Mutiny,New England Revolution,4-0,4,0,East,East,4,regular,,,,,
188,1997-04-12,1997,Tampa Bay Mutiny,Sporting Kansas City,2-1,2,1,East,West,3,regular,,,,,
189,1997-04-12,1997,New York Red Bulls,New England Revolution,3-1,3,1,East,East,4,regular,,,,,
190,1997-04-12,1997,Colorado Rapids,DC United,2-5,2,5,West,East,7,regular,,,,,
191,1997-04-12,1997,San Jose Earthquakes,LA Galaxy,4-1,4,1,West,West,5,regular,,,,,
192,1997-04-13,1997,Columbus Crew,FC Dallas,2-1,2,1,East,West,3,regular,,,,,
193,1997-04-18,1997,LA Galaxy,Colorado Rapids,2-1,2,1,West,West,3,regular,,,,,
194,1997-04-18,1997,Sporting Kansas City,FC Dallas,2-1,2,1,West,West,3,regular,,,,,
195,1997-04-19,1997,New York Red Bulls,DC United,1-2,1,2,East,East,3,regular,,,,,
196,1997-04-19,1997,Columbus Crew,San Jose Earthquakes,2-1,2,1,East,West,3,regular,,,,,
197,1997-04-20,1997,FC Dallas,Colorado Rapids,4-1,4,1,West,West,5,regular,,,,,
198,1997-04-20,1997,New England Revolution,Tampa Bay Mutiny,2-1,2,1,East,East,3,regular,,,,,
199,1997-04-23,1997,Colorado Rapids,FC Dallas,1-0,1,0,West,West,1,regular,,,,,
200,1997-04-26,1997,LA Galaxy,FC Dallas,1-2,1,2,West,West,3,regular,,,,,
201,1997-04-26,1997,New York Red Bulls,Columbus Crew,2-1,2,1,East,East,3,regular,,,,,
202,1997-04-26,1997,New England Revolution,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,
203,1997-04-26,1997,DC United,San Jose Earthquakes,2-3,2,3,East,West,5,regular,,,,,
204,1997-04-27,1997,Sporting Kansas City,Tampa Bay Mutiny,2-3,2,3,West,East,5,regular,,,,,
205,1997-05-02,1997,DC United,LA Galaxy,2-0,2,0,East,West,2,regular,,,,,
206,1997-05-03,1997,New England Revolution,Sporting Kansas City,2-1,2,1,East,West,3,regular,,,,,
207,1997-05-03,1997,San Jose Earthquakes,Columbus Crew,1-3,1,3,West,East,4,regular,,,,,
208,1997-05-03,1997,Colorado Rapids,Tampa Bay Mutiny,2-0,2,0,West,East,2,regular,,,,,
209,1997-05-04,1997,New York Red Bulls,LA Galaxy,1-0,1,0,East,West,1,regular,,,,,
210,1997-05-04,1997,FC Dallas,DC United,3-2,3,2,West,East,5,regular,,,,,
211,1997-05-09,1997,New England Revolution,Columbus Crew,0-2,0,2,East,East,2,regular,,,,,
212,1997-05-09,1997,New York Red Bulls,San Jose Earthquakes,0-1,0,1,East,West,1,regular,,,,,
213,1997-05-10,1997,DC United,FC Dallas,2-3,2,3,East,West,5,regular,,,,,
214,1997-05-10,1997,Tampa Bay Mutiny,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,
215,1997-05-10,1997,Sporting Kansas City,LA Galaxy,1-0,1,0,West,West,1,regular,,,,,
216,1997-05-11,1997,Columbus Crew,New York Red Bulls,3-0,3,0,East,East,3,regular,,,,,
217,1997-05-16,1997,San Jose Earthquakes,New England Revolution,1-2,1,2,West,East,3,regular,,,,,
218,1997-05-17,1997,FC Dallas,Tampa Bay Mutiny,2-0,2,0,West,East,2,regular,,,,,
219,1997-05-17,1997,Colorado Rapids,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,
220,1997-05-18,1997,New England Revolution,DC United,0-1,0,1,East,East,1,regular,,,,,
221,1997-05-18,1997,New York Red Bulls,Sporting Kansas City,1-0,1,0,East,West,1,regular,,,,,
222,1997-05-18,1997,LA Galaxy,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,
223,1997-05-22,1997,DC United,San Jose Earthquakes,3-1,3,1,East,West,4,regular,,,,,
224,1997-05-22,1997,Sporting Kansas City,Columbus Crew,3-1,3,1,West,East,4,regular,,,,,
225,1997-05-23,1997,Tampa Bay Mutiny,FC Dallas,1-3,1,3,East,West,4,regular,,,,,
226,1997-05-24,1997,Colorado Rapids,New England Revolution,1-2,1,2,West,East,3,regular,,,,,
227,1997-05-25,1997,LA Galaxy,Columbus Crew,1-0,1,0,West,East,1,regular,,,,,
228,1997-05-25,1997,New York Red Bulls,Tampa Bay Mutiny,3-2,3,2,East,East,5,regular,,,,,
229,1997-05-29,1997,Columbus Crew,DC United,2-3,2,3,East,East,5,regular,,,,,
230,1997-05-30,1997,New England Revolution,New York Red Bulls,3-1,3,1,East,East,4,regular,,,,,
231,1997-05-30,1997,LA Galaxy,Sporting Kansas City,1-3,1,3,West,West,4,regular,,,,,
232,1997-06-01,1997,New England Revolution,FC Dallas,3-1,3,1,East,West,4,regular,,,,,
233,1997-06-01,1997,San Jose Earthquakes,DC United,2-3,2,3,West,East,5,regular,,,,,
234,1997-06-01,1997,Colorado Rapids,Tampa Bay Mutiny,2-0,2,0,West,East,2,regular,,,,,
235,1997-06-06,1997,FC Dallas,Sporting Kansas City,1-2,1,2,West,West,3,regular,,,,,
236,1997-06-07,1997,DC United,Colorado Rapids,5-0,5,0,East,West,5,regular,,,,,
237,1997-06-07,1997,Tampa Bay Mutiny,Columbus Crew,3-1,3,1,East,East,4,regular,,,,,
238,1997-06-08,1997,New England Revolution,LA Galaxy,1-0,1,0,East,West,1,regular,,,,,
239,1997-06-08,1997,San Jose Earthquakes,Sporting Kansas City,2-3,2,3,West,West,5,regular,,,,,
240,1997-06-13,1997,New York Red Bulls,Colorado Rapids,1-3,1,3,East,West,4,regular,,,,,
241,1997-06-14,1997,New England Revolution,DC United,0-1,0,1,East,East,1,regular,,,,,
242,1997-06-15,1997,Columbus Crew,Colorado Rapids,0-2,0,2,East,West,2,regular,,,,,
243,1997-06-15,1997,Sporting Kansas City,San Jose Earthquakes,1-3,1,3,West,West,4,regular,,,,,
244,1997-06-15,1997,FC Dallas,New York Red Bulls,3-1,3,1,West,East,4,regular,,,,,
245,1997-06-15,1997,LA Galaxy,Tampa Bay Mutiny,4-1,4,1,West,East,5,regular,,,,,
246,1997-06-21,1997,Tampa Bay Mutiny,San Jose Earthquakes,3-1,3,1,East,West,4,regular,,,,,
247,1997-06-21,1997,Columbus Crew,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,
248,1997-06-21,1997,Sporting Kansas City,DC United,6-1,6,1,West,East,7,regular,,,,,
249,1997-06-21,1997,Colorado Rapids,LA Galaxy,2-1,2,1,West,West,3,regular,,,,,
250,1997-06-22,1997,New England Revolution,FC Dallas,3-2,3,2,East,West,5,regular,,,,,
251,1997-06-25,1997,Sporting Kansas City,Tampa Bay Mutiny,3-2,3,2,West,East,5,regular,,,,,
252,1997-06-28,1997,Tampa Bay Mutiny,LA Galaxy,3-2,3,2,East,West,5,regular,,,,,
253,1997-06-28,1997,Colorado Rapids,Sporting Kansas City,3-4,3,4,West,West,7,regular,,,,,
254,1997-06-28,1997,San Jose Earthquakes,FC Dallas,3-1,3,1,West,West,4,regular,,,,,
255,1997-07-04,1997,Tampa Bay Mutiny,New York Red Bulls,1-0,1,0,East,East,1,regular,,,,,
256,1997-07-04,1997,Columbus Crew,Sporting Kansas City,1-2,1,2,East,West,3,regular,,,,,
257,1997-07-04,1997,FC Dallas,DC United,2-3,2,3,West,East,5,regular,,,,,
258,1997-07-04,1997,Colorado Rapids,San Jose Earthquakes,3-1,3,1,West,West,4,regular,,,,,
259,1997-07-04,1997,LA Galaxy,New England Revolution,2-0,2,0,West,East,2,regular,,,,,
260,1997-07-06,1997,DC United,Tampa Bay Mutiny,3-2,3,2,East,East,5,regular,,,,,
261,1997-07-06,1997,Sporting Kansas City,FC Dallas,1-3,1,3,West,West,4,regular,,,,,
262,1997-07-06,1997,San Jose Earthquakes,New England Revolution,3-2,3,2,West,East,5,regular,,,,,
263,1997-07-12,1997,New England Revolution,Sporting Kansas City,2-0,2,0,East,West,2,regular,,,,,
264,1997-07-12,1997,LA Galaxy,DC United,3-1,3,1,West,East,4,regular,,,,,
265,1997-07-13,1997,Columbus Crew,FC Dallas,1-2,1,2,East,West,3,regular,,,,,
266,1997-07-13,1997,New York Red Bulls,Colorado Rapids,4-1,4,1,East,West,5,regular,,,,,
267,1997-07-13,1997,San Jose Earthquakes,Tampa Bay Mutiny,2-3,2,3,West,East,5,regular,,,,,
268,1997-07-18,1997,New England Revolution,Tampa Bay Mutiny,4-2,4,2,East,East,6,regular,,,,,
